Name,MLB_ID,Team,Level,Org,League,Position,Type,Last Updated,BioURL,AVG,G,AB,R,H,2B,3B,HR,RBI,SLG,BB,SO,OBP,OPS,SB,ERA,W,L,G_P,GS_P,SV,IP,H_P,R_P,ER,BB_P,SO_P,WHIP
Luke Keaschall,807712,Minnesota Twins,MLB,,American League,INF,Hitting,2026-04-29,https://www.mlb.com/player/luke-keaschall-807712,.221,29,113,12,25,4,0,1,13,.283,8,20,.276,.559,7,,,,,,,,,,,,,
Trevor Larnach,663616,Minnesota Twins,MLB,,American League,OF,Hitting,2026-04-29,https://www.mlb.com/player/trevor-larnach-663616,.258,23,62,11,16,4,1,1,8,.403,16,14,.410,.813,1,,,,,,,,,,,,,
James Outman,681546,Minnesota Twins,MLB,,American League,OF,Hitting,2026-04-29,https://www.mlb.com/player/james-outman-681546,.115,22,26,5,3,2,0,0,0,.192,2,10,.179,.371,3,,,,,,,,,,,,,
Andrew Vaughn,683734,Milwaukee Brewers,MLB,,National League,1B,Hitting,2026-04-29,https://www.mlb.com/player/andrew-vaughn-683734,.250,1,4,0,1,0,0,0,1,.250,0,0,.250,.500,0,,,,,,,,,,,,,
Petey Halpin,690984,Columbus Clippers,AAA,Cleveland Guardians,International League,OF,Hitting,2026-04-29,https://www.mlb.com/player/petey-halpin-690984,.250,26,112,19,28,6,1,2,14,.375,13,29,.328,.703,9,,,,,,,,,,,,,
Tommy Troy,694371,Reno Aces,AAA,Arizona Diamondbacks,Pacific Coast League,INF/OF,Hitting,2026-04-29,https://www.milb.com/player/tommy-troy-694371,.317,26,104,27,33,5,3,2,19,.481,15,32,.405,.886,4,,,,,,,,,,,,,
Paul Blackburn,621112,New York Yankees,MLB,,American League,P,Pitching,2026-04-29,https://www.mlb.com/player/paul-blackburn-621112,,,,,,,,,,,,,,,,4.09,1,1,7,0,0,11.0,14,6,5,3,7,1.55
Kris Bubic,663460,Kansas City Royals,MLB,,American League,P,Pitching,2026-04-29,https://www.mlb.com/player/kris-bubic-663460,,,,,,,,,,,,,,,,3.74,2,1,6,6,0,33.2,23,14,14,17,35,1.19
Lucas Erceg,668674,Kansas City Royals,MLB,,American League,P,Pitching,2026-04-29,https://www.mlb.com/player/lucas-erceg-668674,,,,,,,,,,,,,,,,4.38,2,1,13,0,7,12.1,10,7,6,10,10,1.62
Hunter Bigge,685801,Durham Bulls,AAA,Tampa Bay Rays,International League,P,Pitching,2026-04-29,https://www.mlb.com/player/hunter-bigge-685801,,,,,,,,,,,,,,,,4.50,0,0,2,0,0,2.0,1,1,1,0,4,0.50
Willie MacIver,680862,Buffalo Bisons,AAA,Toronto Blue Jays,International League,C,Hitting,2026-04-29,https://www.mlb.com/player/willie-maciver-680862,.204,16,54,7,11,1,0,1,8,.278,10,15,.353,.631,1,,,,,,,,,,,,,
Josh Kasevich,688460,Buffalo Bisons,AAA,Toronto Blue Jays,International League,INF,Hitting,2026-04-29,https://www.milb.com/player/josh-kasevich-688460,.295,25,88,14,26,8,1,1,8,.443,10,12,.374,.817,1,,,,,,,,,,,,,
GJ Hill,677338,Hartford Yard Goats,AA,Colorado Rockies,Eastern League,INF,Hitting,2026-04-29,https://www.milb.com/player/gj-hill-677338,.125,11,32,5,4,2,0,0,5,.188,4,14,.216,.404,4,,,,,,,,,,,,,
Tanner Murray,695020,Charlotte Knights,AAA,Chicago White Sox,International League,INF,Hitting,2026-04-29,https://www.milb.com/player/tanner-murray-695020,.304,6,23,6,7,1,0,2,7,.609,6,7,.467,1.076,2,,,,,,,,,,,,,
Lucas Kelly,805220,Everett AquaSox,A+,Seattle Mariners,Northwest League,P,Pitching,2026-04-29,https://www.milb.com/player/lucas-kelly-805220,,,,,,,,,,,,,,,,5.40,0,0,6,0,0,8.1,4,6,5,6,16,1.20
Zach Morgan,681439,Richmond Flying Squirrels,AA,San Francisco Giants,Eastern League,C,Hitting,2026-04-29,https://www.milb.com/player/zach-morgan-681439,.313,7,16,3,5,1,0,0,4,.375,6,5,.500,.875,0,,,,,,,,,,,,,
